,,,49,57,52,52,49,52,54,52,58,54,57,54,55,67,78,56,,
,,,1512,1657,1620,1559,1533,1565,1674,1613,1751,1671,1706,1665,1695,1862,2418,1700,,MAX DIFFERENCE
,,,M0003,M0001,M0001,M0001,M0002,M0001,M0001,M0002,M0001,M0001,M0001,M0002,M0003,M0003,M0634,,,M0006 (43)
SKU,UK M,DESRCRIPTION,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,TRIMMED MEAN,3 Month MEAN,SD
OD001209SilverUK,M0001,Silver Circular Push Pull,114,181,204,200,125,161,132,100,181,144,180,143,104,103,62,142,90,41.7
OD001061,M0003,Silver Push Pull,129,125,119,120,111,156,91,95,117,136,142,98,150,228,190,134,189,36.6
OD001199Silver,M0002,Silver Parcel Box Text,102,111,111,148,140,109,131,133,147,123,128,147,119,103,104,124,109,16.8
OD045003,M0634,SILVER PERSONALISED MEMORIAL,26,43,24,,,30,99,71,66,104,116,118,75,62,599,110,245,150.5
OD001105S,M0005,Silver Caution Hot Water,73,74,64,56,53,47,75,54,44,75,59,39,48,105,97,64,83,19
OD001198Black,M0004,Black Parcel Box Icon,80,77,81,74,69,57,58,55,37,35,20,22,17,8,10,47,12,26.8
OD001128,M0006,Silver Authorised Personnel Only,65,39,43,40,31,32,48,43,64,43,27,25,22,63,20,40,35,14.8
OD001062,M0012,Gold Push Pull,48,31,23,18,12,18,16,33,33,27,29,30,85,88,89,39,87,26.7
OD001198Silver,M0007,Silver Parcel Box Icon,38,41,44,49,43,32,39,40,30,25,26,25,17,22,14,32,18,10.6
M0199_CA,M0199,White DoNot Flush Stand,,,,,,,3,39,42,25,29,31,31,29,60,32,40,15.2
OD001150Silver,M0031,Silver Caution Hot Surface,40,37,42,24,22,18,18,31,18,48,41,19,35,39,41,32,38,10.6
OD024039,M0035,Black Septic Tank,11,30,33,46,26,59,73,41,44,13,30,18,19,6,17,31,14,18.8
OPS011013UK,M0008,Silver Graphic Push Pull,41,62,35,50,46,43,5,13,39,8,10,13,31,32,29,30,31,17.2
OD001209GoldUK,M0009,Gold Circular Push Pull,46,36,36,35,17,30,13,14,17,24,35,21,54,24,30,29,36,11.9
M0726,M0726,SILVER NO ENTRY STAFF ONLY,,,,,,,,2,4,4,23,36,49,49,46,27,48,21.1
M0323,M0323,SILVER UNISEX TOILET CIRCLE,,,,,5,2,,5,15,19,26,42,24,60,53,25,46,20.5
OD001199Brass,M0032,Copper Parcel Box TEXT,18,20,21,30,23,19,18,33,22,29,28,42,30,19,21,25,23,6.9
M0705,M0705,PRIVATE LAND NO ACCESS,,,,,,,,6,10,30,25,20,22,16,39,21,26,10.7
OD042038DogGSSUS,M0077,Silver Beware of the DOG (German Shepherd),4,9,4,9,17,31,30,19,20,28,22,14,23,15,31,18,23,9.3
OD001162Silver,M0011,Silver Please Ring Bell,32,27,27,20,13,11,17,15,3,13,10,16,18,16,18,17,17,7.3
OD067001,M0034,Fixings Set,24,24,22,22,19,12,8,15,16,17,13,15,16,9,10,16,12,5.2
OD001055,M0041,Gold Mind The Step,14,12,15,19,11,8,13,12,22,18,28,21,14,19,14,16,16,5.1
OD001199GAU,M0048,Gold Parcel Box TEXT,9,12,8,16,5,11,13,11,21,16,20,24,25,21,20,15,22,6.2
OP011008UK,M0039,Graphic Push Pull WHITE,11,14,12,19,18,16,12,6,25,18,19,17,18,14,12,15,15,4.5
OD001187Silver,M0033,Silver Multi Faith,18,26,38,15,25,9,10,10,6,9,12,6,18,13,10,15,14,8.8
M0343,M0343,BLACK UNISEX TOILET,,,,,,,,,11,3,17,22,22,13,15,15,17,6.7
